word,pos,cefr_level,uzbek_translation
"a, an",indef. article,A1,noaniq artikl
about,"prep., adv.",A1,haqida
above,"prep., adv.",A1,tepa(da)/(ga)
across,"prep., adv.",A1,"eniga, kesib o'tgancha"
action,n.,A1,ish-harakat
activity,n.,A1,"faoliyat, mashg'ulot"
actor,n.,A1,aktyor
actress,n.,A1,aktrisa
add,v.,A1,qo'shmoq
address,n.,A1,manzil
adult,n.,A1,voyaga yetgan shaxs
advice,n.,A1,maslahat
afraid,adj.,A1,qo'rqqan
after,prep.,A1,…dan keyin
afternoon,n.,A1,"tush payti, peshin"
again,adv.,A1,yana
age,n.,A1,"yosh, yoshi"
ago,adv.,A1,(vaqt) oldin
agree,v.,A1,"qo'shilmoq, rozi bo'lmoq"
air,n.,A1,havo
airport,n.,A1,aeroport
all,"det., pron.",A1,hamma(si)
also,adv.,A1,shuningdek
always,adv.,A1,"doimo, har doim"
amazing,adj.,A1,"g'aroyib, hayratlanarli"
and,conj.,A1,"va, bilan"
angry,adj.,A1,jahli chiqqan
animal,n.,A1,hayvon
another,det./pron.,A1,"boshqa bir, yana bir"
answer,"n., v.",A1,javob; javob bermoq
any,"det., pron.",A1,"qaysidir bir, xohlagan bir"
anyone,pron.,A1,"qaysidir bir odam, xohlagan bir odam"
anything,pron.,A1,"qaysidir bir narsa, xohlagan bir narsa"
apartment,n.,A1,kvartira
apple,n.,A1,olma
April,n.,A1,aprel
area,n.,A1,hudud
arm,n.,A1,qo'l
around,"prep., adv.",A1,"atrofida, tahminan"
arrive,v.,A1,yetib kelmoq
art,n.,A1,san'at
article,n.,A1,maqola
artist,n.,A1,rassom
as,prep.,A1,"…dek, kabi"
ask,v.,A1,so'ramoq
at,prep.,A1,"(joy)da, yonida"
August,n.,A1,avgust
aunt,n.,A1,"xola, amma"
away,adv.,A1,uzoq(da)/(ga)
awesome,adj.,A1,"ajoyib, zo'r"
baby,n.,A1,chaqaloq
back,"n., adv.",A1,"orqa, bel; orqaga"
bad,adj.,A1,yomon
bag,n.,A1,sumka
ball,n.,A1,"to'p, koptok"
banana,n.,A1,banan
band,n.,A1,(musiqa) guruhi
bank (money),n.,A1,bank
bar,n.,A1,bar
baseball,n.,A1,beyzbol
basketball,n.,A1,basketbol
bath,n.,A1,vanna
bathroom,n.,A1,"vannaxona, hojatxona"
be,"v., auxiliary v.",A1,bo'lmoq
beach,n.,A1,sohil
beautiful,adj.,A1,chiroyli
because,conj.,A1,chunki
become,v.,A1,"bo'lmoq, bo'lib qolmoq"
bed,n.,A1,yotoq
